2026-05-28T15:04:35.606593Z	info	FLAG: --concurrency="0"
2026-05-28T15:04:35.606607Z	info	FLAG: --domain="transit.svc.cluster.local"
2026-05-28T15:04:35.606609Z	info	FLAG: --help="false"
2026-05-28T15:04:35.606610Z	info	FLAG: --log_as_json="false"
2026-05-28T15:04:35.606611Z	info	FLAG: --log_caller=""
2026-05-29T13:31:27.215225Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=31
2026-05-29T14:02:52.745539Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=32
2026-05-29T14:34:29.401003Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=33
2026-05-29T15:02:01.463528Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=34
2026-05-29T15:31:54.112645Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=35
2026-05-29T16:00:38.262389Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=36
2026-05-29T16:30:11.518312Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=37
2026-05-29T16:58:34.926989Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=38
2026-05-29T17:26:38.265542Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=39
2026-05-29T17:59:27.692303Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=40
2026-05-29T18:31:22.169773Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=41
2026-05-29T19:03:51.835863Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=42
2026-05-29T19:31:12.559044Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=43
2026-05-29T19:58:49.089901Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=44
2026-05-29T20:28:02.808439Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=45
2026-05-29T20:56:08.161976Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=46
2026-05-29T21:26:06.691340Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=47
2026-05-29T21:54:37.367817Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=48
2026-05-29T22:23:08.968639Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=49
2026-05-29T22:43:18.651483Z	info	cache	generated new workload certificate	resourceName=default latency=101.054042ms ttl=23h59m59.348520364s
2026-05-29T22:52:23.120746Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=50
2026-05-29T23:22:12.129675Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=51
2026-05-29T23:49:27.151663Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=52
2026-05-30T00:22:29.868066Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=53
2026-05-30T00:50:42.096698Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=54
2026-05-30T01:22:12.167314Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=55
2026-05-30T01:55:18.219806Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=56
2026-05-30T02:27:36.997882Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=57
2026-05-30T02:57:43.237037Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=58
2026-05-30T03:28:11.977596Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=59
2026-05-30T03:56:52.799740Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=60
2026-05-30T04:27:36.701005Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=61
2026-05-30T04:59:21.033112Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=62
2026-05-30T05:27:31.089030Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=63
2026-05-30T05:59:26.757604Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=64
2026-05-30T06:28:23.671083Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=65
2026-05-30T06:57:16.086453Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=66
2026-05-30T07:27:33.237298Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=67
2026-05-30T07:58:42.043468Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=68
2026-05-30T08:26:36.056777Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=69
2026-05-30T08:56:56.171997Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=70
2026-05-30T09:27:06.739409Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=71
