cluster_manager.cds.version_text: "2026-05-28T14:50:16Z/35"
listener_manager.lds.version_text: "2026-05-28T14:50:16Z/35"
cluster.xds-grpc;.assignment_stale: 0
cluster.xds-grpc;.assignment_timeout_received: 0
cluster.xds-grpc;.assignment_use_cached: 0
cluster.xds-grpc;.bind_errors: 0
cluster.xds-grpc;.circuit_breakers.default.cx_open: 0
cluster.xds-grpc;.circuit_breakers.default.cx_pool_open: 0
cluster.xds-grpc;.circuit_breakers.default.rq_open: 0
cluster.xds-grpc;.circuit_breakers.default.rq_pending_open: 0
cluster.xds-grpc;.circuit_breakers.default.rq_retry_open: 0
cluster.xds-grpc;.circuit_breakers.high.cx_open: 0
cluster.xds-grpc;.circuit_breakers.high.cx_pool_open: 0
cluster.xds-grpc;.circuit_breakers.high.rq_open: 0
cluster.xds-grpc;.circuit_breakers.high.rq_pending_open: 0
cluster.xds-grpc;.circuit_breakers.high.rq_retry_open: 0
cluster.xds-grpc;.default.total_match_count: 1
cluster.xds-grpc;.http2.deferred_stream_close: 0
cluster.xds-grpc;.http2.dropped_headers_with_underscores: 0
cluster.xds-grpc;.http2.goaway_sent: 0
cluster.xds-grpc;.http2.header_overflow: 0
cluster.xds-grpc;.http2.headers_cb_no_stream: 0
cluster.xds-grpc;.http2.inbound_empty_frames_flood: 0
cluster.xds-grpc;.http2.inbound_priority_frames_flood: 0
cluster.xds-grpc;.http2.inbound_window_update_frames_flood: 0
cluster.xds-grpc;.http2.keepalive_timeout: 0
cluster.xds-grpc;.http2.metadata_empty_frames: 0
cluster.xds-grpc;.http2.outbound_control_flood: 0
cluster.xds-grpc;.http2.outbound_control_frames_active: 0
cluster.xds-grpc;.http2.outbound_flood: 0
cluster.xds-grpc;.http2.outbound_frames_active: 0
cluster.xds-grpc;.http2.pending_send_bytes: 0
cluster.xds-grpc;.http2.requests_rejected_with_underscores_in_headers: 0
cluster.xds-grpc;.http2.rx_messaging_error: 0
cluster.xds-grpc;.http2.rx_reset: 0
cluster.xds-grpc;.http2.stream_refused_errors: 0
cluster.xds-grpc;.http2.streams_active: 1
cluster.xds-grpc;.http2.trailers: 0
